profit,drawdown
0.065,0.014
0.066,0.0148
0.067,0.0148
0.068,0.0147
0.069,0.0146
0.07,0.0145
0.071,0.0144
0.072,0.0143
0.073,0.0142
0.074,0.0141
0.075,0.014
0.076,0.0139
0.077,0.0138
0.078,0.0137
0.079,0.0136
0.08,0.0135
0.081,0.0134
0.082,0.0133
0.083,0.0132
0.084,0.0131
0.085,0.013
0.086,0.0129
0.087,0.0128
0.088,0.0127
0.089,0.0126
0.09,0.0125
0.091,0.0124
0.092,0.0123
0.093,0.0122
0.094,0.0121
0.095,0.012
0.096,0.0119
0.097,0.0118
0.098,0.0117
0.099,0.0116
0.1,0.0115
0.101,0.0114
0.102,0.0113
0.103,0.0112
0.104,0.0111
0.105,0.011
0.106,0.0109
0.107,0.0108
0.108,0.0107
0.109,0.0106
0.11,0.0105
0.111,0.0104
0.112,0.0103
0.113,0.0102
0.114,0.0101
0.115,0.01
0.116,0.0099
0.117,0.0098
0.118,0.0097
0.119,0.0096
0.12,0.0095
0.121,0.0094
0.122,0.0093
0.123,0.0092
0.124,0.0091
0.125,0.009
0.126,0.0089
0.127,0.0088
0.128,0.0087
0.129,0.0086
0.13,0.0085
0.131,0.0084
0.132,0.0083
0.133,0.0082
0.134,0.0081
0.135,0.008
0.136,0.0079
0.137,0.0078
0.138,0.0077
0.139,0.0076
0.14,0.0075
0.141,0.0074
0.142,0.0073
0.143,0.0072
0.144,0.0071
0.145,0.007
0.146,0.0069
0.147,0.0068
0.148,0.0067
0.149,0.0066
0.15,0.0065
0.151,0.0064
0.152,0.0063
0.153,0.0062
0.154,0.0061
0.155,0.006
0.156,0.0059
0.157,0.0058
0.158,0.0057
0.159,0.0056
0.16,0.0055
0.161,0.0054
0.162,0.0053
0.163,0.0052
0.164,0.0051
0.165,0.005
0.166,0.0049
0.167,0.0048
0.168,0.0047
0.169,0.0046
0.17,0.0045
0.171,0.0044
0.172,0.0043
0.173,0.0042
0.174,0.0041
0.175,0.004
0.176,0.0039
0.177,0.0038
0.178,0.0037
0.179,0.0036
0.18,0.0035
0.181,0.0034
0.182,0.0033
0.183,0.0032
0.184,0.0031
0.185,0.003
0.186,0.0029
0.187,0.0028
0.188,0.0027
0.189,0.0026
0.19,0.0025
0.191,0.0024
0.192,0.0023
0.193,0.0022
0.194,0.0021
0.195,0.002
0.196,0.0019
0.197,0.0018
0.198,0.0017
0.199,0.0016
0.2,0.0015
