代码,名称,持有数量@市价,可用数量,未实现盈亏比例,总盈亏金额,市值,平均成本价,今日盈亏,未实现盈亏,已实现盈亏,持仓占比,今日成交额,今日买入@均价,今日卖出@均价,币种,市场,下单平台
BYAH,朴荷生物科技,7@3.000,7,-99.35%,"-4,191.15",21,459.56,0,"-3,195.92",-995.23,0.69%,0,0@--,0@--,美元,美股,FUTU
09955,智云健康,"9,600@0.505",0,-2.88%,-144,"4,848.00",0.52,-48,-144,0,20.39%,0,0@--,0@--,港元,港股,FUTU
01727,河北建设,"10,000@0.239",0,0.00%,0,"2,390.00",0.239,0,0,0,10.05%,0,0@--,0@--,港元,港股,FUTU
01243,宏安地产,"168,000@0.031",0,-3.13%,-168,"5,208.00",0.032,-336,-168,0,21.90%,0,0@--,0@--,港元,港股,FUTU
00587,海螺环保,"20,000@0.260",0,-7.14%,-400,"5,200.00",0.28,0,-400,0,21.87%,0,0@--,0@--,港元,港股,FUTU
02587,健康之路,0.98@6500,,,,,0.98,,,,,,,,港元,港股,FUTU
PTLO,PTLO,77@3.87,,,,,3.87,,,,,,,,美元,美股,IBKR
ELTX,ELTX,160@2.1,,,,,2.1,,,,,,,,美元,美股,IBKR
300869,康泰医学,1000@10.7,,,,,10.7,,,,,,,,人民币,A股,东方财富
300732,设研院,2000@5.74,,,,,5.74,,,,,,,,人民币,A股,东方财富
301487,盟固利,700@16.04,,,,,16.04,,,,,,,,人民币,A股,东方财富
